,year,title,director,cast,genre,producer,link,music
860,2014,Rummy,Balakrishnan,"Vijay Sethupathi, Aishwarya Rajesh, Inigo Prabhakaran, Gayathrie",Drama,JSK Film Corporation,/wiki/Rummy_(2013_film),
861,2014,Kovalanin Kadhali,K. Arjunaraja,"Dileepkumar, Kiranmai, Navneet Kapoo",Romance,Good Day Films,/w/index.php?title=Kovalanin_Kadhali&action=edit&redlink=1,
862,2014,Pannaiyarum Padminiyum,Arun Kumar,"Vijay Sethupathi, Aishwarya Rajesh, Jayaprakash",Comedy-drama,Magicbox Films,/wiki/Pannaiyarum_Padminiyum,Justin Prabhakaran
863,2014,Pulivaal,Maarimuthu,"Vimal, Prasanna, Ananya, Iniya, Oviya",Thriller,Magic Frames,/wiki/Pulivaal,N. R. Raghunanthan
864,2014,Vu,Ashik,"Thambi Ramiah, Varun, Madhan, Neha",Comedy,Phoenix Pictures,/wiki/Vu_(film),
865,2014,Chandra,Roopa Iyer,"Shriya Saran, Prem Kumar, Ganesh Venkatraman, Vivek",Fantasy-period,India Classic Arts & Narasimha Arts,/wiki/Chandra_(film),
866,2014,Idhu Kathirvelan Kadhal,S. R. Prabhakaran,"Udhayanidhi Stalin, Nayantara, Chaya Singh",Romantic comedy,Red Giant Movies,/wiki/Idhu_Kathirvelan_Kadhal,Harris Jayaraj
867,2014,Madhavanum Malarvizhiyum,Masil,"Ashwin Kumar, Sija Rose, Neeraja",Romance,Girija Productions,/w/index.php?title=Madhavanum_Malarvizhiyum&action=edit&redlink=1,
868,2014,Rettai Kadhir,Ramkishore,"Subbu, Sumitha, Pandiarajan",Romance,VNS Productions,/w/index.php?title=Rettai_Kadhir&action=edit&redlink=1,
869,2014,Aaha Kalyanam,Gokul,"Nani, Vaani Kapoor",Romantic comedy,Yash Raj Films,/wiki/Aaha_Kalyanam,Dharan Kumar
870,2014,Bramman,Socrates,"Sasikumar, Lavanya Tripathi, Santhanam",Masala,K Manju Cinemas,/wiki/Bramman_(film),Devi Sri Prasad
871,2014,Chithirai Thingal,R. Manikkam,"Kieran, Swathi, Ashwin, Rekha",Romance,Mayura Silver Screens,/w/index.php?title=Chithirai_Thingal&action=edit&redlink=1,
872,2014,Manaivi Amaivathellam,K. Umachithra,"Mohanraj, Rajeswari, Vinod Kumar, Subburaj",Drama,Sri Shanthai Durgai Amman Movies,/w/index.php?title=Manaivi_Amaivathellam&action=edit&redlink=1,
873,2014,Nila Kaaikirathu,Prabhu,,Adult,Blue Whale International,/w/index.php?title=Nila_Kaaikirathu&action=edit&redlink=1,
874,2014,Venmegam,Ram-Laxman,"Vidharth, Ishara Nair, Jayashree Sivadas",Drama,Sujatha Sunitha Combines,/wiki/Venmegam,Jaffer Hanni
875,2014,Amara,M. Jeevan,"Amaran, Sruthi Ramakrishnan, Ashish Vidyarthi",Action,TKM Films,/wiki/Amara_(film),
876,2014,Panivizhum Malarvanam,P. James David,"Abhilash, Sanyathara, Varsha Ashwathi",Action,CTN & Raymax Media,/wiki/Panivizhum_Malarvanam,B. R. Rajin
877,2014,Thegidi,Ramesh,"Ashok Selvan, Janani Iyer",Thriller,Thirukumaran Entertainment,/wiki/Thegidi,Nivas K. Prasanna
878,2014,Vallinam,Arivazhagan,"Nakul, Mrudhula Basker, Atul Kulkarni",Sports drama,Aascar Films,/wiki/Vallinam,S. Thaman
879,2014,Endrendrum,Sinish,"Sathish Krishnan, Priyanka Reddy",Romance,A NOD Production,/wiki/Endrendrum,Dharan Kumar
880,2014,Ethir Veechu,K. Guna,"Irfan, Rasna",Sports drama,Malik Streams Corporation,/w/index.php?title=Ethir_Veechu&action=edit&redlink=1,
881,2014,Veeran Muthu Raaku,C. Raja Sekaran,"Kathir, Liyasree, Aadukalam Naren",Drama,Kripathy Movies,/w/index.php?title=Veeran_Muthu_Raaku&action=edit&redlink=1,
882,2014,Nimirndhu Nil,Samuthirakani,"Jayam Ravi, Amala Paul, Ragini Dwivedi, Sarathkumar",Action drama,Vasans Visual Ventures,/wiki/Nimirndhu_Nil,G. V. Prakash Kumar
883,2014,Aadhiyum Andhamum,Kaushik,"Ajay, Mitali Agarwal, Kavitha Srinivasan",Thriller,RSR Screens,/wiki/Aadhiyum_Andhamum,L.V. Ganeshan
884,2014,Kadhal Solla Aasai,Thamizh Seenu,"Ashok, Wasna Ahmed, Madhu Raghuram",Romance,Emersigns Productions,/wiki/Kadhal_Solla_Aasai,"M. M. Srilekha,S. Lekha"
885,2014,Marumugam,Kamal Subramaniam,"Daniel Balaji, Preethi Das, Anoop Kumar",Thriller,Entertainment Unlimited,/wiki/Marumugam,"Agastya,Praveen Savi,1 song"
886,2014,Oru Modhal Oru Kadhal,Keerthi Kumar,"Vivek Rajgopal, Megha Burman",Romantic comedy,Kandan Gear up Entertainment,/wiki/Oru_Modhal_Oru_Kadhal,K. R. Kawin Siva
887,2014,Cuckoo,Raju Murugan,"Attakathi Dinesh, Malavika Nair",Romantic drama,Fox Star Studios,/wiki/Cuckoo_(2014_film),
888,2014,Kerala Nattilam Pengaludane,S. S. Kumaran,"Abi Saravanan, Gayathri, Abirami Suresh, Deekshitha Manikkam",Romantic comedy,Suma Pictures,/wiki/Kerala_Nattilam_Pengaludane,S. S. Kumaran
889,2014,Pani Vizhum Nilavu,Kaushik,"Hriday, Eden Kuriakosse",Romance,Vee Ess Pictures,/w/index.php?title=Pani_Vizhum_Nilavu&action=edit&redlink=1,
890,2014,Virattu,Kumar T.,"Sujiv, Erica Fernandes, Pragya Jaiswal",Thriller,Teja Cinemas,/wiki/Virattu,Dharan Kumar
891,2014,Yasagan,Duraivanan,"Mahesh, Niranjana",Drama,Agaram Productions,/w/index.php?title=Yasagan&action=edit&redlink=1,
892,2014,Inam,Santosh Sivan,"Sugandha Ram, S. Karan, Saritha, Karunas",Drama,Santosh Sivan Films,/wiki/Ceylon_(film),
893,2014,Marumunai,Mariesh Kumar,"Maruthi, Mrudhula Bhaskar",Romance,MPL Films,/w/index.php?title=Marumunai&action=edit&redlink=1,
894,2014,Nedunchaalai,N. Krishna,"Aari, Sshivada, Prashant Narayanan",Drama,Fine Focus,/wiki/Nedunchaalai,C. Sathya
895,2014,Oru Oorla,K. S. Vasanthakumar,"Venkatesh, Neha Patil",Drama,Vignesh Productions,/wiki/Oru_Oorla,Ilaiyaraaja
896,2014,Koottam,Jeevan Reddy,"Naveen Chandra, Piaa Bajpai, Kishore",Drama,Mammoth Media,/wiki/Dalam,James Vasanthan
897,2014,Maan Karate,Thirukumaran,"Sivakarthikeyan, Hansika Motwani, Vamsi Krishna",Fantasy,"Escape Artists Motion Pictures,AR Murugadoss Productions",/wiki/Maan_Karate,Anirudh Ravichander
898,2014,Oru Kanniyum Moonu Kalavaanikalum,Chimbu Deven,"Arulnithi, Bindu Madhavi, Ashrita Shetty",Comedy,Mohana Movies,/wiki/Oru_Kanniyum_Moonu_Kalavaanikalum,Natarajan Sankaran
