,year,title,director,cast,genre,producer
589,2016,Ilamai Oonjal,Mangai Harirajan,"Namitha, Kiran Rathod, Meghna Naidu, Keerthi Chawla",Action,Shree Preyam Creations
590,2016,Kidaari,Prasath Murugesan,"Sasikumar, Nikhila Vimal, Napoleon",Action,Company Productions
591,2016,Kuttrame Thandanai,M. Manikandan,"Vidharth, Pooja Devariya, Aishwarya Rajesh, Rahman",Crime Thriller,Don Productions & Tribal Art Productions
592,2016,Thagadu,M. Thanga Durai,"Ajay, Sanam Shetty, Hashika Dutt, Prabha, Priyanka Shukla",Historical drama,Thai Thanthai Movies
593,2016,Iru Mugan,Anand Shankar,"Vikram, Nayanthara, Nithya Menen",Action,Thameens Films
594,2016,Vaaimai,A. Senthil Kumar,"Shanthanu Bhagyaraj, Bhanu, Goundamani, Ramki, Thiagarajan, Manoj Bharathi, Prithvi Rajan",Drama,Min Max Movies
595,2016,Pudhusa Naan Poranthen,Majid Abu,"Biyon, Kalyani Nair, Kalabhavan Mani",Drama,Sahara Entertainments
596,2016,Nayagi,Govi,"Trisha, Ganesh Venkatraman, Sushma Raj",Horror,Giridhar Production House
597,2016,Karma,R. Arvind,R. Arvind,Thiller,Creative Criminal
598,2016,Pagiri,Esakki Karvannan,"Prabhu Ranaveeran, Shravya, Ravi Mariya",Romantic comedy,Lakshmi Creations
599,2016,Sadhuram 2,Sumanth Radhakrishnan,"Yog Japee, Rohit Nair, Riaz, Sanam Shetty",Thriller,Knockout Entertainment & Grey Matter Studios
600,2016,Uchathula Shiva,Jaypee,"Karan, Neha Ratnakaran, Aadukalam Naren",Action drama,K Entertainments
601,2016,Thodari,Prabhu Solomon,"Dhanush, Keerthy Suresh, Ganesh Venkatraman",Romantic thriller,Sathya Jyothi Films
602,2016,Aandavan Kattalai,M. Manikandan,"Vijay Sethupathi, Ritika Singh, Pooja Devariya",Comedy Drama,Gopuram Films
603,2016,Oruthal,Krishnadasan,"Senthil Jagadeesan, Gayathri Iyer",Drama,Sayeeleela Productions
604,2016,Aasi,N. P. S. Veerapandiyan,"Varshika, Jaga, Jeyashree, Aarthi, Raj Kapoor",Horror,Shanmuga Pictures
605,2016,Kallattam,G. Ramesh,"Nandha, Richard, Sharika, Usha Shree",Action,White Horse Productions
606,2016,Kanaga Durga,Chandra Kannaiyan,"Magi, Saravanan, Divya Nagesh, Janvika, Delhi Ganesh",Devotional,Jothi Vinayagar Cinemas
607,2016,Kollidam,Nesam Murali,"Nesam Murali, Ludhia, Vadivukkarasi",Action,Vertical Films
