,year,title,director,cast,genre,producer
741,2015,Kathamma,M. D. Sukumaran,"Biju, Aathira, Ashok Raj, Shivaji Mallika",Drama,Bougainvillea Films
742,2015,Puriyadha Anandam Puthithaga Arambam,Syed Ibrahim,"Krish, Srushti Dange",Romance,Rowther Films
743,2015,Inimey Ippadithan,Muruganand,"Santhanam, Ashna Zaveri, Akhila Kishore",Comedy,Handmade Films
744,2015,Romeo Juliet,Lakshman,"Jayam Ravi, Hansika Motwani",Romantic comedy,Madras Enterprises
745,2015,Achaaram,Mohan Krishna,"Ganesh Venkatraman, Munna, Poonam Kaur",Crime thriller,Dhaaru Nisha Movies
746,2015,Eli,Yuvaraj Dhayalan,"Vadivelu, Sadha, Pradeep Rawat",Spy comedy,City Cine Creations
747,2015,Iru Kadhal Oru Kadhai,P. Panneerselvam,"Jana, Anu Krishna",Romance,TJ Movies
748,2015,Iyakkunar,Rajath,"Rajath, Ashmitha, Risha, Shruti Swastika",Comedy,Jayalakshmi Golden Jubilee Films
749,2015,Indru Netru Naalai,Ravi Kumar R.,"Vishnu, Miya, Karunakaran",Science-fiction comedy,Thirukumaran Entertainment
750,2015,Kaaval,Nagendran R.,"Vimal, Samuthirakani, 'Punnagai Poo' Gheetha",Action,SG Films
751,2015,Lodukku Pandi,Rajneesh,"Karunas, Neha Saxena",Comedy,G Pictures
752,2015,Moone Moonu Varthai,Madhumitha,"Arjun Chidambaram, Aditi Chengappa, Venkatesh Harinathan",Romantic comedy,Capital Film Works
753,2015,Yagavarayinum Naa Kaakka,Sathya,"Aadhi, Nikki Galrani, Mithun Chakraborty, Richa Pallod",Action drama,Adharsha Chitralaya
754,2015,Baby,D. Suresh,"Manoj K. Bharathi, Shira Gaarg, Baby Sathanya, Srivarshini",Horror,RK Entertainers
755,2015,Oru Thozhan Oru Thozhi,P. Mohan,"Meenesh Krishna, Mano Deepan, Asthra, Abinitha",Romance,Ghantharvaa Celluloids Creators
756,2015,Palakkattu Madhavan,M. Chandramohan,"Vivek, Sonia Agarwal, Sheela",Comedy drama,ABC Dreams
757,2015,Papanasam,Jeethu Joseph,"Kamal Haasan, Gautami, Niveda Thomas, Asha Sarath",Drama-thriller,Wide Angle CreationsRaj Kumar Theatres
758,2015,Paranjothi,Gopu Balaji,"Sarathy Natesan, Ansiba Hassan, Vijayakumar",Drama,IPL Cinemas
759,2015,Baahubali: The Beginning,S. S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah",Epic / History,Arka Media Works
760,2015,Kamaraj,A. Balakrishnan,"Richard Madhuram, Samuthirakani, Sambathraj Sumant, Mahendran",Biography,Ramana Communications
761,2015,Ore Oru Raja Mokkaraja,Sathosh Gopal,"Sanjeev Kumar, Ranjith, Rajendran",Action,Devakala Films
762,2015,Maharani Kottai,Vinod Kumar,"Richard Rishi, Aani Princy, Ashwin Raja, Ganja Karuppu",Horror,Thanamalar Creations
763,2015,Miss Pannidatheenga Appuram Varuthapaduveenga,K. Saravanan,"Suresh Kumar, Pandiarajan, Livingston, Crane Manohar",Comedy,Jamna Films International
764,2015,Maari,Balaji Mohan,"Dhanush, Kajal Aggarwal, Vijay Yesudas",Action Masala,"Magic Frames,Wunderbar Films"
765,2015,Naalu Policeum Nalla Irundha Oorum,N. J. Srikrishna,"Arulnithi, Remya Nambeesan, Singampuli",Comedy,JSK Film Corporation
766,2015,Aavi Kumar,Kandeepan,"Udhaya, Kanika Tiwari",Supernatural thriller,Volmart Films
767,2015,Guru Sukran,Anand,"Guru, Kamalnath, Satna Titus, Tripura, Aadukalam Naren",Action,Guru Kamalam Associates
768,2015,Idhu Enna Maayam,A. L. Vijay,"Vikram Prabhu, Navdeep, Keerthy Suresh, Kavya Shetty",Romantic comedy,"Magic Frames,Think Big Studios"
769,2015,Orange Mittai,Biju Viswanath,"Vijay Sethupathi, Ramesh Thilak, Aashritha",Comedy drama,Vijay Sethupathi Productions
770,2015,Sakalakala Vallavan,Suraj,"Jayam Ravi, Trisha, Anjali, Soori",Masala,Lakshmi Movie Makers
771,2015,Azhage Illatha Azhagana Kathai,Swaminathan,Vijaya Prakash,Drama,SSS Creations
772,2015,Chandi Veeran,A. Sarkunam,"Atharvaa, Anandhi, Lal",Action,B. Studios
773,2015,Kalai Vendhan,R. K. Parasuram,"Ajay, Sanam Shetty, Kalabhavan Mani",Action drama,S. K. Films International
774,2015,Kurangu Kaila Poomalai,G. Krishna,"Praveen Kumar Rajendran, Jagadeesh, Gautham, Chandini, Gayathri, Nisha",Comedy,Sai Ameer Productions
775,2015,Vandha Mala,Igore,"Tamil, Sri Priyanka, Prasad",Comedy,S. Jayaradha Krishnan
776,2015,Akila Muthalam Vaguppu,Suresh Saran,"Thilaga Raj, Nazeer, Swathija",Romance,Thaaya Creations
777,2015,Nirayudham,M. B. Rajadurai,"Santhosh, Sharika",Thriller,SSN Creations
778,2015,Vaalu,Vijay Chander,"Silambarasan, Hansika Motwani, Santhanam",Romantic comedy,NIC Arts
779,2015,Vasuvum Saravananum Onna Padichavanga,M. Rajesh,"Arya, Tamannaah, Santhanam, Muktha Bhanu",Romantic comedy,The Show People
780,2015,Aluchatiyam,Premkumar,"Raghu, Ramya",Drama,Nisa Pictures
781,2015,Jigina,Nandha Periyasamy,"Vijay Vasanth, Sanyathara, Singampuli",Romantic comedy,Thirrupathi Brothers
782,2015,Adhibar,Surya Prakash,"Jeevan, Vidya Pradeep, Nandha, Richard Rishi",Action,Benn Consortium Studios
783,2015,Thakka Thakka,Sanjeev,"Vikranth, Aravinnd Singh, Rahul Venkat, Abhinaya, Leema Babu, Parvati Nirban",Action drama,Studio Versatile
784,2015,Thani Oruvan,M. Raja,"Jayam Ravi, Aravind Swamy, Nayantara",Action thriller,AGS Entertainment
785,2015,Bhanu,G. V. Seenu,"G. V. Seenu, Aishwarya Sant, Udhayaaraj",Drama,Kamal G Pictures
786,2015,Paayum Puli,Suseenthiran,"Vishal, Kajal Aggarwal, Samuthirakani",Action drama,Vendhar Movies
787,2015,Pokkiri Mannan,Ragomadhesh,"Sridhar, Spoorthi Suresh",Action,Srinidhi Films
788,2015,Savaale Samaali,Sathyasiva,"Ashok Selvan, Bindu Madhavi",Comedy,K Productions
789,2015,9 Thirudargal,Vijay Paramasivam,"Saran, Akansha Mohan, Y. G. Mahendra",Comedy,Golden House Creations
790,2015,Maanga,R. S. Raja,"Premgi Amaren, Advaitha, Leema Babu",Science fiction comedy,Dream Zone Movies
791,2015,Naanaage Naanillai,A. P. Rethinam,"Vijayabalan, Kamali",Drama,Thiru Neelakanda Vinayagar Pictures
792,2015,Strawberry,Pa. Vijay,"Pa. Vijay, Avani Modi, Yuvina Parthavi",Horror,Vil Makers
793,2015,Yatchan,Vishnuvardhan,"Arya, Kreshna, Deepa Sannidhi, Swathi Reddy",Action comedy,"Vishnuvardhan Pictures,UTV Motion Pictures"
794,2015,49-O,P. Arokiyadoss,"Goundamani, Guru Somasundaram, Vaidehi",Satire,Zero Rules Entertainment
795,2015,Maya,Ashwin Saravanan,"Nayantara, Aari, Amzath Khan, Lakshmi Priyaa Chandramouli",Horror,Potential Studios
796,2015,Trisha Illana Nayanthara,Adhik Ravichandran,"G. V. Prakash Kumar, Anandhi, Manisha Yadav",Adult comedy,Cameo Films
797,2015,Jippaa Jimikki,Ra. Raajasekar,"Krishik Divakar, Kushbu Prasad",Romantic comedy,3 Friends Production
798,2015,Kadhal Agathee,Shami Thirumalai,"Harikumar, Aisha Azim, Mamtha",Romance,Ramaiah Cine Creations
799,2015,Kirumi,Anucharan,"Kathir, Reshmi Menon, Charle, David Solomon Raja",Thriller,JPR Films
800,2015,Kuttram Kadithal,Bramma.,"Master Ajay, Radhika Prasidhha, Sai Rajkumar",Drama,"JSK Film Corporation,Chris Pictures"
801,2015,Thiruttu VCD,Sukumar,"Prabha, Sakshi Agarwal, Devadarshini",Comedy,VPA Medias
802,2015,Unakenna Venum Sollu,Srinath Ramalingam,"Deepak Paramesh, Jaqlene Prakash, Gunalan Morgan",Horror,Juna Pictures
803,2015,Puli,Chimbu Deven,"Vijay, Prabhu, Sudeep, Sridevi, Shruti Haasan, Hansika Motwani",Fantasy Horror,SKT Studios
804,2015,Dummy Tappasu,Ravi OS,"Praveen Prem, Ramya Pandian",Comedy,Yacht Ads
805,2015,Andhadhi,Ramesh Venkatraman,"Arjun Vijayaragavan, Anjena Kirti, Karthik Nagarajan, Sahithya Jagannathan, Bhargav Chakravarthy",Crime thriller,Dewdrop Pictures
806,2015,Kaththukkutti,R. Saravanan,"Narain, Soori, Srushti Dange",Romantic comedy,OWN Productions
807,2015,Masala Padam,Laxman Kumar,"Shiva, Bobby Simha, Gaurav, Laxmi Devy",Masala,Allin Pictures
808,2015,Sathuran,Rajeev Prasad,"Rajaji, Varsha Bollamma, Raju Easwaran",Action thriller,Kuberan Cinemas
809,2015,Athiradi,Mansoor Ali Khan,"Mansoor Ali Khan, Moumita Choudhury",Comedy,Raj Kannadi Films
810,2015,Maiem,Aditya Baskar,"Naveen Sanjai, Jai Quehaeni, Kumaran Thangarajan, Suhasinni Kumaran, Hashim Zain, Pooja Devariya",Thriller,Sketchbook Productions
811,2015,Marappaachi,K. S. Muthumanoharan,"G. Muruganandam, Suganya",Horror,Gems Pictures
812,2015,Sillunu Oru Payanam,R. Vishwa,"Sohaib, Navya",Romance,GN Medias
813,2015,Sivappu,Sathyasiva,"Naveen Chandra, Rupa Manjari, Rajkiran, Thambi Ramaiah",Drama,Muktha Films
814,2015,Thiraipada Nagaram,S. P. Gnanamozhi,"Muthu, Priya",Romance,"Udhyam Screens,Pasathai Movies"
815,2015,10 Enradhukulla,Vijay Milton,"Vikram, Samantha Ruth Prabhu",Road thriller,"Fox Star Studios,AR Muragadoss Productions"
816,2015,Naanum Rowdydhaan,Vignesh Shivan,"Vijay Sethupathi, Nayantara, Parthiban",Romantic comedy,Wunderbar Films
817,2015,Kubera Rasi,R. Radhakrishnan,"Roshan Basheer, Abhirami Suresh, Biju Isaac",Thriller,I & B Movies
818,2015,Apoorva Mahaan,Manimuthu,"Thalaivasal Vijay, Suman, Powerstar Srinivasan",Devotional,TNS Devar Films
819,2015,Adhyan,Ram Manoj Kumar,"Abimanyu Nallamuthu, Sakshi Agarwal",Action,Rathang Pictures
820,2015,Chikkiku Chikkikichu,N. Rajesh Kumar,"Anoop Ravindran, Mrudula Murali",Romance,NCR Movie Creations
821,2015,Illaignar Paasarai,Jayaraman Rithan,"Vijay Muralee, Anu Krishna",Drama,Freedom Aarts
822,2015,Kathirvel Kaaka,V. N. Premkumar,"Manoj Bharathiraja, Preethika Sri, Karunas",Action,Sri Kaliyamman Films
823,2015,Om Shanti Om,D. Surya Prabhakar,"Srikanth, Neelam Upadhyaya, Aadukalam Naren, Vinodhini",Horror drama,8 Point Entertainment
824,2015,Pallikoodam Pogamale,Jayasheelan,"Tejas, Aishwarya Raja, Ganesh Venkatraman, Srihari",Drama,Best Rolls
825,2015,Viraivil Isai,V. S. Praba,"Mahendran, Dhilip Roger, Sruthi Ramakrishnan, Arppana Prabhu",Drama,Thirumaruthi Pictures
826,2015,Iniya Ulavaga,J. Srinivasan,"Prabhu Saravanan, Kalki",Romance,Badhrakaliamman Films
827,2015,Kring Kring,Rahul,"Rohan, Kavya",Crime thriller,RPM Cinemas
828,2015,Uyirvarai Iniththaai,K.S.Thurai,"Vashanth Sellathurai, Narvini Dery",Romantic drama,Aprodigi Productions
829,2015,Injimarappa,Saga,"Sri Balaji, Sony Charishta",Romantic drama,Blue Hills Production
830,2015,Thoongaa Vanam,Rajesh M. Selva,"Kamal Haasan, Trisha, Prakash Raj, Kishore, Sampath Raj",Crime thriller,"Raaj Kamal Films International,Gokulam Films"
831,2015,Vedalam,Siva,"Ajith Kumar, Shruti Haasan, Lakshmi Menon",Action masala,Shri Sai Raam Creations
832,2015,Oru Naal Iravil,Anthony,"Sathyaraj, Yugi Sethu, Varun, Anumol, Kalyani Natarajan",Thriller drama,Think Big Studios
833,2015,Aaranyam,Kuberji,"Ram, Neeraja",Drama,Aaha Oho Productions
834,2015,144,G. Manikandan,"Shiva, Ashok Selvan, Oviya, Sruthi Ramakrishnan",Comedy,Thirukumaran EntertainmentAbi & Abi Studios
835,2015,Inji Iduppazhagi,Prakash Kovelamudi,"Anushka Shetty, Arya, Sonal Chauhan",Romantic comedy,PVP Cinema
836,2015,Uppu Karuvaadu,Radha Mohan,"Nandita, Karunakaran, Narayan",Comedy drama,First Copy PicturesNight Show Pictures
837,2015,Urumeen,Sakthivel Perumalsamy,"Bobby Simha, Kalaiyarasan, Reshmi Menon",Action thriller,Axess Film Factory
838,2015,Eetti,Ravi Arasu,"Adharvaa, Sri Divya, Jayaprakash",Action,Global Infotainment Pvt. Ltd
839,2015,Thiruttu Rail,Thirupathi,"Rakshan, Charan Selvam, Cathy",Action drama,SSS Movies
840,2015,Thanga Magan,Velraj,"Dhanush, Samantha, Amy Jackson",Family drama,Wunderbar FilmsGopuram Films
841,2015,Bhooloham,N. Kalyanakrishnan,"Jayam Ravi, Trisha, Nathan Jones",Sports drama,Aascar Films
842,2015,Pasanga 2,Pandiraj,"Suriya, Amala Paul, Bindu Madhavi, Karthik Kumar",Comedy drama,2D Entertainment
843,2015,Vellaiya Irukiravan Poi Solla Maatan,A. L. Abanindran,"Praveen Kumar, Shalini Vadnikatti, Sanam Shetty, Karthik Kumar",Comedy drama,Ignite Films
844,2014,Agadam,Mohamad Issack,"Tamizh, Srini Iyer, Sri Priyanka, Baskar",Horror,Last Bench Boys Productions
845,2014,Athimalai Muthupandi,Raghupathi,"Sarathi, Sopna, Maragatham, Manikkanan",Action,Krishnalaya Movies
846,2014,En Kadhal Pudhidhu,Maarishkumar,"Ram Sathya, Umashree, Namitha Pramod, Pandiarajan",Romance,Veera Movies
847,2014,Kathiyai Theetathe Buthiyai Theetu,Srikrishna,"Athava Ram, Priya, Manju",Drama,DSK Productions
848,2014,Mun Andhi Saaral,Devendiran,"Ansar, Anand, Murali, Nakshatra",Romance,Focus Pictures
849,2014,Namma Gramam,Mohan Sharma,"Nishan, Samvrutha Sunil, Nedumudi Venu, Sukumari",Drama,Gunachitra Movies
850,2014,Jilla,R. T. Neason,"Mohanlal, Vijay, Kajal Aggarwal, Mahat, Niveda Thomas",Action-masala,Super Good Films
851,2014,Veeram,Siva,"Ajith Kumar, Tamannaah, Vidharth, Bala, Pradeep Rawat",Action-masala,Vijaya Productions
852,2014,Kalavaram,Ramesh Selvan,"Sathyaraj, Tanikella Bharani, Ajay Reddy, Yasir",Action,Rithish Harish Movies
853,2014,Vidiyum Varai Pesu,A.B.Mugan,"Anith, Nanma, Vaidegi",Romance,A. M. Films Productions
854,2014,Goli Soda,Vijay Milton,"Sree Ram, Kishore, Pandi, Murugesh",Drama,Thirrupathi Brothers
855,2014,Ner Ethir,M.Jaya Pradeep,"Richard Rishi, Vidhya, Aiswarya, Parthy",Thriller,V. Creations
856,2014,Malini 22 Palayamkottai,Sripriya,"Nithya Menen, Krish J. Sathaar",Drama-thriller,Rajkumar Theaters
857,2014,Inga Enna Solluthu,Vincent Selva,"VTV Ganesh, Santhanam, Meera Jasmine",Comedy,VTV Productions
858,2014,Ninaithathu Yaaro,Vikraman,"Rejith Menon, Nimisha Suresh, Karthik Yogi, Azar",Romance,Abhishek Films
859,2014,Maalai Nera Pookkal,K.J.S,"Nagina, Kaviya, Jeni",Adult,Y Pictures
860,2014,Ninaivil Nindraval,Agasthiya Bharathi,"Ashwin Sekhar, Keerthi Chawla, Gayathri Venkatagiri",Action,Sri Sabari Movies
861,2014,Rummy,Balakrishnan,"Vijay Sethupathi, Aishwarya Rajesh, Inigo Prabhakaran, Gayathrie",Drama,JSK Film Corporation
862,2014,Kovalanin Kadhali,K. Arjunaraja,"Dileepkumar, Kiranmai, Navneet Kapoo",Romance,Good Day Films
863,2014,Pannaiyarum Padminiyum,Arun Kumar,"Vijay Sethupathi, Aishwarya Rajesh, Jayaprakash",Comedy-drama,Magicbox Films
864,2014,Pulivaal,Maarimuthu,"Vimal, Prasanna, Ananya, Iniya, Oviya",Thriller,Magic Frames
865,2014,Vu,Ashik,"Thambi Ramiah, Varun, Madhan, Neha",Comedy,Phoenix Pictures
866,2014,Chandra,Roopa Iyer,"Shriya Saran, Prem Kumar, Ganesh Venkatraman, Vivek",Fantasy-period,India Classic Arts & Narasimha Arts
867,2014,Idhu Kathirvelan Kadhal,S. R. Prabhakaran,"Udhayanidhi Stalin, Nayantara, Chaya Singh",Romantic comedy,Red Giant Movies
868,2014,Madhavanum Malarvizhiyum,Masil,"Ashwin Kumar, Sija Rose, Neeraja",Romance,Girija Productions
869,2014,Rettai Kadhir,Ramkishore,"Subbu, Sumitha, Pandiarajan",Romance,VNS Productions
870,2014,Aaha Kalyanam,Gokul,"Nani, Vaani Kapoor",Romantic comedy,Yash Raj Films
871,2014,Bramman,Socrates,"Sasikumar, Lavanya Tripathi, Santhanam",Masala,K Manju Cinemas
872,2014,Chithirai Thingal,R. Manikkam,"Kieran, Swathi, Ashwin, Rekha",Romance,Mayura Silver Screens
873,2014,Manaivi Amaivathellam,K. Umachithra,"Mohanraj, Rajeswari, Vinod Kumar, Subburaj",Drama,Sri Shanthai Durgai Amman Movies
874,2014,Nila Kaaikirathu,Prabhu,,Adult,Blue Whale International
875,2014,Venmegam,Ram-Laxman,"Vidharth, Ishara Nair, Jayashree Sivadas",Drama,Sujatha Sunitha Combines
876,2014,Amara,M. Jeevan,"Amaran, Sruthi Ramakrishnan, Ashish Vidyarthi",Action,TKM Films
877,2014,Panivizhum Malarvanam,P. James David,"Abhilash, Sanyathara, Varsha Ashwathi",Action,CTN & Raymax Media
878,2014,Thegidi,Ramesh,"Ashok Selvan, Janani Iyer",Thriller,Thirukumaran Entertainment
879,2014,Vallinam,Arivazhagan,"Nakul, Mrudhula Basker, Atul Kulkarni",Sports drama,Aascar Films
880,2014,Endrendrum,Sinish,"Sathish Krishnan, Priyanka Reddy",Romance,A NOD Production
881,2014,Ethir Veechu,K. Guna,"Irfan, Rasna",Sports drama,Malik Streams Corporation
882,2014,Veeran Muthu Raaku,C. Raja Sekaran,"Kathir, Liyasree, Aadukalam Naren",Drama,Kripathy Movies
883,2014,Nimirndhu Nil,Samuthirakani,"Jayam Ravi, Amala Paul, Ragini Dwivedi, Sarathkumar",Action drama,Vasans Visual Ventures
884,2014,Aadhiyum Andhamum,Kaushik,"Ajay, Mitali Agarwal, Kavitha Srinivasan",Thriller,RSR Screens
885,2014,Kadhal Solla Aasai,Thamizh Seenu,"Ashok, Wasna Ahmed, Madhu Raghuram",Romance,Emersigns Productions
886,2014,Marumugam,Kamal Subramaniam,"Daniel Balaji, Preethi Das, Anoop Kumar",Thriller,Entertainment Unlimited
887,2014,Oru Modhal Oru Kadhal,Keerthi Kumar,"Vivek Rajgopal, Megha Burman",Romantic comedy,Kandan Gear up Entertainment
888,2014,Cuckoo,Raju Murugan,"Attakathi Dinesh, Malavika Nair",Romantic drama,Fox Star Studios
889,2014,Kerala Nattilam Pengaludane,S. S. Kumaran,"Abi Saravanan, Gayathri, Abirami Suresh, Deekshitha Manikkam",Romantic comedy,Suma Pictures
890,2014,Pani Vizhum Nilavu,Kaushik,"Hriday, Eden Kuriakosse",Romance,Vee Ess Pictures
891,2014,Virattu,Kumar T.,"Sujiv, Erica Fernandes, Pragya Jaiswal",Thriller,Teja Cinemas
892,2014,Yasagan,Duraivanan,"Mahesh, Niranjana",Drama,Agaram Productions
893,2014,Inam,Santosh Sivan,"Sugandha Ram, S. Karan, Saritha, Karunas",Drama,Santosh Sivan Films
894,2014,Marumunai,Mariesh Kumar,"Maruthi, Mrudhula Bhaskar",Romance,MPL Films
895,2014,Nedunchaalai,N. Krishna,"Aari, Sshivada, Prashant Narayanan",Drama,Fine Focus
896,2014,Oru Oorla,K. S. Vasanthakumar,"Venkatesh, Neha Patil",Drama,Vignesh Productions
897,2014,Koottam,Jeevan Reddy,"Naveen Chandra, Piaa Bajpai, Kishore",Drama,Mammoth Media
898,2014,Maan Karate,Thirukumaran,"Sivakarthikeyan, Hansika Motwani, Vamsi Krishna",Fantasy,"Escape Artists Motion Pictures,AR Murugadoss Productions"
899,2014,Oru Kanniyum Moonu Kalavaanikalum,Chimbu Deven,"Arulnithi, Bindu Madhavi, Ashrita Shetty",Comedy,Mohana Movies
900,2014,Aandava Kaapaathu,Lebin,"Harish, Aleesha, Nizhalgal Ravi",Drama,LML Creations
901,2014,Kandharvan,Salangai Durai,"Kadhir, Honey Rose, Ganja Karuppu",Action,Thamarai Movies
902,2014,Naan Sigappu Manithan,Thiru,"Vishal, Lakshmi Menon, Iniya",Thriller,UTV Motion PicturesVishal Film Factory
903,2014,Idhuvum Kadandhu Pogum,"Anil Krishnan, Srihari Prabaharan","Shivaji Dev, Shilpa Bhatt, Anusha Varma, Ravi Raghavendra",Drama,AVM Productions
904,2014,Damaal Dumeel,Shree,"Vaibhav, Remya Nambeesan",Thriller,Cameo Films
905,2014,Karpavai Katrapin,Patturam Senthil,"Madhu Raghuram, Abinitha, Sandeep",Romance,Patturam Production
906,2014,Tenaliraman,Yuvaraj Dhayalan,"Vadivelu, Meenakshi Dixit",Historical comedy/Satire,AGS Entertainment
907,2014,Thalaivan,Ramesh Selvan,"Bas, Nikesha Patel, Santhanam",Action,Blue Ocean Pictures
908,2014,Ennamo Nadakkudhu,Rajapandi,"Vijay Vasanth, Mahima Nambiar, Prabhu, Rahman",Thriller,Triple V Records
909,2014,Pongadi Neengalum Unga Kadhalum,Ramakrishnan,"Ramakrishnan, Athmiya Rajan, Karunya Ram",Romance,Wisdom Pictures
910,2014,Vaayai Moodi Pesavum,Balaji Mohan,"Dulquer Salman, Nazriya Nazim, Madhoo",Romantic comedy,Y NOT StudiosRadiance Media
911,2014,Yennamo Yedho,Ravi Thiyagarajan,"Gautham Karthik, Rakul Preet Singh, Nikesha Patel, Prabhu",Romantic comedy,Ravi Prasad Productions
912,2014,Nee Enge En Anbe,Sekhar Kammula,"Nayantara, Vaibhav, Pasupathy",Thriller,Endemol India
913,2014,Dhavani Kaatru,VRP Manohar,"Aaradhya, Murali, Ravikumar",Romance,Santhosh Studios
914,2014,Nee En Uyire,Vikas Lathithraj,"Navarasan, Vaishali",Romance,Sri Lakshmi Vrushadhri Productions
915,2014,Eppothum Vendran,Siva Shanmugan,"Sanjay, Sunu Lakshmi",Action,ARR Creations
916,2014,Yaamirukka Bayamey,Deekay,"Kreshna, Rupa Manjari, Oviya",Horror comedy,RS Infotainment
917,2014,Angusam,Manukannan,"Skanda Ashok, Jayati Guha",Action,Manusri Film International
918,2014,Vallavanukku Pullum Aayudham,Srinath,"Santhanam, Ashna Zaveri, Mirchi Senthil, Nagineedu",Action comedy,"PVP Cinema,Handmade Films"
919,2014,Enn Nenjai Thottaye,R. K. Anbuselvan,"Ravi Kumar, Pavithra",Romance,Guru Surya Movies
920,2014,Kochadaiiyaan,Soundarya Rajinikanth,"Rajinikanth, Deepika Padukone, Shobhana, Sarathkumar, Aadhi, Jackie Shroff, Nassar",Animation/Period,Eros International
921,2014,Amma Ammamma,Balu Manivannan,"Saranya, Sampath Raj, Anand",Drama,Chandrasekhar Thiraikalam
922,2014,Adhu Vera Idhu Vera,M. Thilagarajan,"Varshan, Sanyathara, Imman Annachi",Comedy,Jeni Powerful Media
923,2014,Hogenakkal,Murthy M. R.,"Thamizhvanan, Jothinanda, Sravya",Drama,Ezhil Productions
924,2014,Poovarasam Peepee,Halitha Shameem,"Gaurav Kalai, Pravin Kishore, Vasanth",Adventure,"V Talkies,Baby Shoe Productions"
925,2014,Athiyayam,R. Yuvan,"Sharan Selvam, Ashmitha, Varsha, Pandi, Shankar Guru, Raja",Drama,Film Factory
926,2014,Manjapai,Naveen Raghavan,"Vimal, Lakshmi Menon, Rajkiran",Comedy drama,Thirupathi Brothers
927,2014,Un Samayal Arayil,Prakash Raj,"Prakash Raj, Sneha, Urvashi, Tejus, Samyuktha Hornad",Romance,Duet Movies
928,2014,Mundaasupatti,Ram,"Vishnu, Nandita Swetha",Comedy,Thirukumaran Entertainment
929,2014,Naan Than Bala,Kannan,"Vivek, Swetha, Venkatraj",Drama,SSS Entertainments
930,2014,Ottam Aarambam,VST John,"Zaheer, Ezhil",Action,TRY Creations
931,2014,Thirudu Pogatha Manasu,Chella Thangiah,"Senthil Ganesh, Sai Aishwarya, Thangaiya",Romance,Ajantha Kalaikoodam
932,2014,Uyirukku Uyiraga,Manoj Kumar,"Sanjeev, Sharran Kumar, Nandhana, Preethi Das",Drama,Motherland Movies
933,2014,Vazhum Deivam,Sundar,"Anusha, Mohana, Charmila, Radharavi",Drama,SRP Films
934,2014,Vadacurry,Saravana Rajan,"Jai, Swati Reddy, Kasthuri, RJ Balaji",Comedy thriller,Meeka Entertainment
935,2014,Netru Indru,Padmamagan,"Vimal, Prasanna, Richard, Arundhathi, Manochitra",Adventure thriller,26699 Cinema
936,2014,Sooraiyadal,Thamara Kannan,"Sribalaji, Leema Babu, Gayathri",Drama,Thrilok Productions
937,2014,Vetri Selvan,Rudhran,"Ajmal, Radhika Apte, Mano",Drama,Silicon Studios
938,2014,Athithi,Bharathan,"Nandha, Ananya, Nikesh Ram",Thriller,Spellbound Films
939,2014,Dhanush 5am Vaguppu,Kathaga Thirumalavan,"Akhil, Ashrita, K. R. Vijaya",Drama,K V Productions
940,2014,Enna Satham Indha Neram,Guru Ramesh,"Nithin Sathya, N. Puralavan, Raja, Maanu, Malavika Wales",Comedy thriller,A. V. A Productions
941,2014,Saivam,A. L. Vijay,"Nassar, Baby Sara, Baasha, Twara Desai",Drama,Think Big Studios
942,2014,Agadam,Mohamad Issack,"Tamizh, Srini Iyer, Sri Priyanka, Baskar",Horror,Last Bench Boys Productions
943,2014,Athimalai Muthupandi,Raghupathi,"Sarathi, Sopna, Maragatham, Manikkanan",Action,Krishnalaya Movies
944,2014,En Kadhal Pudhidhu,Maarishkumar,"Ram Sathya, Umashree, Namitha Pramod, Pandiarajan",Romance,Veera Movies
945,2014,Kathiyai Theetathe Buthiyai Theetu,Srikrishna,"Athava Ram, Priya, Manju",Drama,DSK Productions
946,2014,Mun Andhi Saaral,Devendiran,"Ansar, Anand, Murali, Nakshatra",Romance,Focus Pictures
947,2014,Namma Gramam,Mohan Sharma,"Nishan, Samvrutha Sunil, Nedumudi Venu, Sukumari",Drama,Gunachitra Movies
948,2014,Jilla,R. T. Neason,"Mohanlal, Vijay, Kajal Aggarwal, Mahat, Niveda Thomas",Action-masala,Super Good Films
949,2014,Veeram,Siva,"Ajith Kumar, Tamannaah, Vidharth, Bala, Pradeep Rawat",Action-masala,Vijaya Productions
950,2014,Kalavaram,Ramesh Selvan,"Sathyaraj, Tanikella Bharani, Ajay Reddy, Yasir",Action,Rithish Harish Movies
951,2014,Vidiyum Varai Pesu,A.B.Mugan,"Anith, Nanma, Vaidegi",Romance,A. M. Films Productions
952,2014,Goli Soda,Vijay Milton,"Sree Ram, Kishore, Pandi, Murugesh",Drama,Thirrupathi Brothers
953,2014,Ner Ethir,M.Jaya Pradeep,"Richard Rishi, Vidhya, Aiswarya, Parthy",Thriller,V. Creations
954,2014,Malini 22 Palayamkottai,Sripriya,"Nithya Menen, Krish J. Sathaar",Drama-thriller,Rajkumar Theaters
955,2014,Inga Enna Solluthu,Vincent Selva,"VTV Ganesh, Santhanam, Meera Jasmine",Comedy,VTV Productions
956,2014,Ninaithathu Yaaro,Vikraman,"Rejith Menon, Nimisha Suresh, Karthik Yogi, Azar",Romance,Abhishek Films
957,2014,Maalai Nera Pookkal,K.J.S,"Nagina, Kaviya, Jeni",Adult,Y Pictures
