,year,title,director,cast,genre,producer
1143,2012,Saattai,Anbazhagan,"Samuthirakani, Mahima Nambiar, Ajmal Khan, Thambi Ramaiah, Swasika",Drama,Produced by Shalom Creations
1144,2012,Thaandavam,A. L. Vijay,"Vikram, Anushka Shetty, Amy Jackson, Lakshmi Rai",Action,Produced by UTV Motion Pictures
1145,2012,Pudhiya Kaaviyam,Pe Na Ramesh,"Dilip, Jahnavi Kamath, Athesh, Alwha Vasu",Drama,
1146,2012,Sembattai,Ganesh,"Dileepan, Srijith, Gowri Nambiar",Drama,
1147,2012,Maattrraan,K. V. Anand,"Suriya, Kajal Aggarwal, Tara, Sachin Khedekar",Action thriller,Produced by AGS Entertainment
1148,2012,Soundarya,Chandramohan,"Govind, 'Killer' Kasim, Rithoosan, Sarath, Santosh",Erotic thriller,
1149,2012,Amridha Yokam,A Manicka Raj,"Sridhar, Vennila",Drama,
1150,2012,Koyambedu Perundhu Nilayam,R. Manivasagan,"Ashok, Anvitha",Romance,
1151,2012,Pizza,Karthik Subburaj,"Vijay Sethupathi, Remya Nambeesan",Romantic thriller,Produced by Thirukumaran Entertainment
1152,2012,Thiruthani,Perarasu,"Bharath, Sunaina, Rajkiran, Pandiarajan",Action,
1153,2012,Aarohanam,Lakshmy Ramakrishnan,"Viji Chandrasekhar, Jayaprakash, Uma Padmanabhan",Drama,Produced by AVA Productions
1154,2012,Chakravarthy Thirumagan,L. Purushottaman,MGR Siva,Comedy,
1155,2012,Mayilu,Jeevan,"Sri, Shammu",Drama,Produced by Duet Movies
1156,2012,Vavval Pasanga,Suresh,"Rahul, Utthara Unni",Drama,Produced by Sree Raji Movies
1157,2012,Ariyaan,P. Karthikeyan,"Santosh Bhavan, Ragini Dwivedi",,
1158,2012,Asaivam,Kishore,"Sidhaarth, Jennifer, Srija",Romance,
1159,2012,Magan,,,,
1160,2012,Yaarukku Theriyum,Ganesan Kamaraj,"Kalabhavan Mani, Nishan, Jayaprakash, Riyaz Khan, Harish Raj, Sanjana Singh",Thriller,Produced by Arubere Art Ventura Pvt Ltd
1161,2012,Ajantha,Rajppa Ravishankar,"Ramana, Vinu Mohan, Honey Rose, Sai Kiran, Vandana Gupta",,
1162,2012,Ammavin Kaipesi,Thangar Bachan,"Shanthnu Bhagyaraj, Iniya",Drama,Produced by Thankar Thiraikalam
1163,2012,Kasi Kuppam,Arun,"Aadarsh, Archana",Drama,Produced by  Balamurugan films
1164,2012,Podaa Podi,Vignesh Shivaa,"Silambarasan, Varalaxmi Sarathkumar, Shobana",Romance,Produced by Gemini Film Circuit
1165,2012,Thuppakki,A. R. Murugadoss,"Vijay, Kajal Aggarwal, Vidyut Jamwal, Jayaram",Action,Produced by V Creations
1166,2012,Kai,Vinoth Raghava,"Vijith, Joshima",Romance,
1167,2012,Naduvula Konjam Pakkatha Kaanom,Balaji Tharaneetharan,"Vijay Sethupathi, Gayathrie Shankar",Comedy,Produced by Leo Vision
1168,2012,Neerparavai,Seenu Ramasamy,"Vishnu, Sunaina, Nandita Das, Saranya Ponvannan",Drama,Produced by Red Giant Movies
1169,2012,Sun Sun Thatha,Nassar,"Ahbi, Jamali Shadat, Nassar",Drama,
1170,2012,Kumki,Prabhu Solomon,"Vikram Prabhu, Lakshmi Menon",Drama,Produced by Thirupathi Brothers
1171,2012,Neethaane En Ponvasantham,Gautham Menon,"Jiiva, Samantha, Santhanam",Romance,Produced by Photon Kathaas & RS Infotainment
1172,2012,Sattam Oru Iruttarai,Sneha Britto,"Thaman Kumar, Piaa Bajpai, Bindu Madhavi, Reemma Sen",Action,
1173,2012,Akilan,,"Dr. Saravanan, Vidya, Rajkapoor",,
1174,2012,Kandu Pudichitten,,,,
1175,2012,Kozhi Koovuthu,K. I. Ranjith,"Ashok, Sija Rose, Rohini, Bose Venkat",Drama,Produced by Bright Media
1176,2012,Lollu Dhadha Parak Parak,Mansoor Ali Khan,"Mansoor Ali Khan, Anjana, Aarthi, Shakeela, Venniradai Moorthy",Comedy,Produced by Mansoor Ali Khan
1177,2012,Paraseega Mannan,J. Suresh,"J. Suresh, Sruthi Lakshmi, Ramesh Khanna, KK",Action thriller,Produced by Rich Art Productions
1178,2012,Puthumughangal Thevai,Maneesh Babu,"Sivaji Dev, Rajesh Yadhav, Muktha Bhanu, Vishnu Priya",Drama,Produced by Winner Bull Films
1179,2011,Thamizh Desam,Thamizh Selva,"Raghuvannan, Varshini",Drama,
1180,2011,Aadukalam,Vetrimaran,"Dhanush, Taapsee Pannu, Kishore",Drama,Produced by Five Star Films
1181,2011,Siruthai,Siva,"Karthi, Tamannaah","Action, Masala",Produced by Studio Green
1182,2011,"15(Pongal)
",Ilaignan,Suresh Krishna,"Pa. Vijay, Remya Nambeesan, Meera Jasmine, Namitha",Drama
1183,2011,Kaavalan,Siddique,"Vijay, Asin, Mithra Kurian",Romantic comedy,Produced by Ekaveera Creations
1184,2011,Sollitharava,S. Sivaraman,"Sivan, Sharmila, Nivedhita",Romance,Produced by Foot Steps Production
1185,2011,Pathinaaru,D. Sabapathy,"Shiva, Madhu Shalini",Romantic drama,Produced by Passion Movie Makers
1186,2011,Pazhagiyathe Pirivatharka,S. A. Selvakumar,"Selvam, Tharuna",Romance,Siva Jothi Films Banner
1187,2011,Vaada Poda Nanbargal,Manigai,"Nandha, Sharran Kumar, Yashika",Romance,Produced by 8 Point Entertainment
1188,2011,Yuddham Sei,Myshkin,"Cheran, Dipa Shah, Y. Gee. Mahendra",Crime thriller,Produced by AGS Entertainment
1189,2011,Thoonga Nagaram,Gaurav,"Vimal, Anjali, Bharani, Nishanth, Gaurav",Drama,Produced by Cloud Nine Movies
1190,2011,Idhu Kadhal Uthirum Kaalam,P.K.Shivashri,"T.Jayanraj, P.K.Shivashri",Romance,
1191,2011,Nandhi,Thamizhvanan,"Akhil, Sanusha",Drama,Produced by Vision X Media
1192,2011,Payanam,Radha Mohan,"Nagarjuna, Prakash Raj, Sana Khan, Poonam Kaur","Thriller, Drama",Produced by Silent Movies
1193,2011,Thambikottai,Ammu Ramesh,"Narain, Poonam Bajwa, Meena","Action, Masala",Produced by Rajeshwari Films
1194,2011,Varmam,A. S. Lawrence Madhavan,"Akilan, Anaka, Nizhalgal Ravi",Crime thriller,Produced by Crescent Creations
1195,2011,Aadu Puli,Vijay Prakash,"Aadhi, Poorna, Prabhu",Action,Produced by Global Infotainments
1196,2011,Kadhalar Kudiyiruppu,A. M. R. Ramesh,"Anish Tejeshwar,  Shruthi",Action,Produced by S. Lad Entertainment
1197,2011,Nadunissi Naaygal,Gautham Menon,"Sameera Reddy, Veera Bahu",Psychological thriller,Produced by Photon Kathaas
1198,2011,Thappu,Akilan,"Vivan, Rani Chaturvedi, Jennifer",Adult,Produced by SSA Movies
1199,2011,Aaranin Kaaval,K. Dharmaraj,"Ajay, Sonia Bhat",Drama,Produced by Rogan Films
1200,2011,Margazhi 16,K. Steven,"Jayanth, Srinidhi",Romance,Produced by Jayavishal Arts
1201,2011,Seedan,Subramaniya Siva,"Ananya, Krishna, Dhanush",Drama,Produced by Mid Productions
1202,2011,Singam Puli,Sai Ramani,"Jiiva, Divya Spandana, Honey Rose","Action, Masala",Produced by Silverline Film Factory
1203,2011,Ayyan,Kendiran Muniyasamy,"Vasan Karthik, Divya Padmini",Drama,
1204,2011,Bhavani: The Real Police,G. Kicha,"Sneha, Kota Srinivasa Rao, Vivek",Action,Produced by Shri Movie Makers
1205,2011,Aivar,Sai Prasad,"Perarasan, Vijay Anand, Ilah, Athulya",Drama,Produced by AGR Night Films
